Time point: 71.0 | Happiness: 1.0
Time point: 98.0 | Happiness: 2.0
Time point: 123.0 | Happiness: 3.0
Time point: 138.0 | Happiness: 4.0
Time point: 154.0 | Happiness: 5.0
Time point: 181.0 | Happiness: 6.0
Time point: 196.0 | Happiness: 7.0
Time point: 217.0 | Happiness: 8.0
Time point: 242.0 | Happiness: 9.0
Time point: 261.0 | Happiness: 10.0
Time point: 277.0 | Happiness: 11.0
Time point: 310.0 | Happiness: 12.0
Time point: 339.0 | Happiness: 13.0
Time point: 354.0 | Happiness: 14.0
Time point: 370.0 | Happiness: 15.0
Time point: 386.0 | Happiness: 16.0
Time point: 404.0 | Happiness: 17.0
Time point: 428.0 | Happiness: 18.0
Time point: 457.0 | Happiness: 19.0
Time point: 472.0 | Happiness: 20.0
Time point: 500.0 | Happiness: 21.0
Time point: 518.0 | Happiness: 22.0
Time point: 542.0 | Happiness: 23.0
Time point: 560.0 | Happiness: 24.0
Time point: 575.0 | Happiness: 25.0
Time point: 591.0 | Happiness: 26.0
Time point: 621.0 | Happiness: 27.0
