Time point: 208.0 | PatientsSeen: 1.0
Time point: 394.0 | PatientsSeen: 2.0
Time point: 580.0 | PatientsSeen: 3.0
Time point: 766.0 | PatientsSeen: 4.0
Time point: 952.0 | PatientsSeen: 5.0
Time point: 1138.0 | PatientsSeen: 6.0
Time point: 1324.0 | PatientsSeen: 7.0
Time point: 1510.0 | PatientsSeen: 8.0
Time point: 1696.0 | PatientsSeen: 9.0
Time point: 1882.0 | PatientsSeen: 10.0
Time point: 2068.0 | PatientsSeen: 11.0
Time point: 2254.0 | PatientsSeen: 12.0
Time point: 2440.0 | PatientsSeen: 13.0
Time point: 2626.0 | PatientsSeen: 14.0
Time point: 2812.0 | PatientsSeen: 15.0
Time point: 2998.0 | PatientsSeen: 16.0
Time point: 3184.0 | PatientsSeen: 17.0
Time point: 3370.0 | PatientsSeen: 18.0
Time point: 3556.0 | PatientsSeen: 19.0
Time point: 3742.0 | PatientsSeen: 20.0
Time point: 3928.0 | PatientsSeen: 21.0
Time point: 4114.0 | PatientsSeen: 22.0
Time point: 4300.0 | PatientsSeen: 23.0
Time point: 4486.0 | PatientsSeen: 24.0
Time point: 4672.0 | PatientsSeen: 25.0
Time point: 4858.0 | PatientsSeen: 26.0
Time point: 5044.0 | PatientsSeen: 27.0
Time point: 5230.0 | PatientsSeen: 28.0
Time point: 5416.0 | PatientsSeen: 29.0
Time point: 5602.0 | PatientsSeen: 30.0
Time point: 5788.0 | PatientsSeen: 31.0
Time point: 5974.0 | PatientsSeen: 32.0
Time point: 6160.0 | PatientsSeen: 33.0
Time point: 6346.0 | PatientsSeen: 34.0
Time point: 6532.0 | PatientsSeen: 35.0
Time point: 6718.0 | PatientsSeen: 36.0
Time point: 6904.0 | PatientsSeen: 37.0
Time point: 7090.0 | PatientsSeen: 38.0
Time point: 7276.0 | PatientsSeen: 39.0
Time point: 7462.0 | PatientsSeen: 40.0
Time point: 7648.0 | PatientsSeen: 41.0
Time point: 7834.0 | PatientsSeen: 42.0
Time point: 8020.0 | PatientsSeen: 43.0
Time point: 8206.0 | PatientsSeen: 44.0
Time point: 8392.0 | PatientsSeen: 45.0
Time point: 8578.0 | PatientsSeen: 46.0
Time point: 8764.0 | PatientsSeen: 47.0
Time point: 8950.0 | PatientsSeen: 48.0
Time point: 9136.0 | PatientsSeen: 49.0
Time point: 9322.0 | PatientsSeen: 50.0
Time point: 9508.0 | PatientsSeen: 51.0
Time point: 9694.0 | PatientsSeen: 52.0
Time point: 9880.0 | PatientsSeen: 53.0
Time point: 10066.0 | PatientsSeen: 54.0
Time point: 10252.0 | PatientsSeen: 55.0
Time point: 10438.0 | PatientsSeen: 56.0
Time point: 10624.0 | PatientsSeen: 57.0
Time point: 10810.0 | PatientsSeen: 58.0
Time point: 10996.0 | PatientsSeen: 59.0
Time point: 11182.0 | PatientsSeen: 60.0
Time point: 11368.0 | PatientsSeen: 61.0
Time point: 11554.0 | PatientsSeen: 62.0
Time point: 11740.0 | PatientsSeen: 63.0
Time point: 11926.0 | PatientsSeen: 64.0
Time point: 12112.0 | PatientsSeen: 65.0
Time point: 12298.0 | PatientsSeen: 66.0
Time point: 12484.0 | PatientsSeen: 67.0
Time point: 12670.0 | PatientsSeen: 68.0
Time point: 12856.0 | PatientsSeen: 69.0
Time point: 13042.0 | PatientsSeen: 70.0
Time point: 13228.0 | PatientsSeen: 71.0
Time point: 13414.0 | PatientsSeen: 72.0
Time point: 13600.0 | PatientsSeen: 73.0
