Time point: 223.0 | PatientsSeen: 1.0
Time point: 409.0 | PatientsSeen: 2.0
Time point: 595.0 | PatientsSeen: 3.0
Time point: 781.0 | PatientsSeen: 4.0
Time point: 967.0 | PatientsSeen: 5.0
Time point: 1153.0 | PatientsSeen: 6.0
Time point: 1339.0 | PatientsSeen: 7.0
Time point: 1525.0 | PatientsSeen: 8.0
Time point: 1711.0 | PatientsSeen: 9.0
Time point: 1897.0 | PatientsSeen: 10.0
Time point: 2083.0 | PatientsSeen: 11.0
Time point: 2269.0 | PatientsSeen: 12.0
Time point: 2455.0 | PatientsSeen: 13.0
Time point: 2641.0 | PatientsSeen: 14.0
