Time point: 232.0 | PatientsSeen: 1.0
Time point: 272.0 | PatientsSeen: 2.0
Time point: 312.0 | PatientsSeen: 3.0
Time point: 354.0 | PatientsSeen: 4.0
Time point: 396.0 | PatientsSeen: 5.0
Time point: 436.0 | PatientsSeen: 6.0
Time point: 477.0 | PatientsSeen: 7.0
Time point: 518.0 | PatientsSeen: 8.0
Time point: 560.0 | PatientsSeen: 9.0
Time point: 602.0 | PatientsSeen: 10.0
Time point: 643.0 | PatientsSeen: 11.0
Time point: 685.0 | PatientsSeen: 12.0
Time point: 726.0 | PatientsSeen: 13.0
Time point: 768.0 | PatientsSeen: 14.0
Time point: 810.0 | PatientsSeen: 15.0
Time point: 852.0 | PatientsSeen: 16.0
Time point: 893.0 | PatientsSeen: 17.0
Time point: 934.0 | PatientsSeen: 18.0
Time point: 976.0 | PatientsSeen: 19.0
