Time point: 175.0 | PatientsSeen: 1.0
Time point: 218.0 | PatientsSeen: 2.0
Time point: 278.0 | PatientsSeen: 3.0
Time point: 338.0 | PatientsSeen: 4.0
Time point: 401.0 | PatientsSeen: 5.0
Time point: 464.0 | PatientsSeen: 6.0
Time point: 528.0 | PatientsSeen: 7.0
Time point: 591.0 | PatientsSeen: 8.0
Time point: 655.0 | PatientsSeen: 9.0
Time point: 717.0 | PatientsSeen: 10.0
Time point: 781.0 | PatientsSeen: 11.0
Time point: 844.0 | PatientsSeen: 12.0
Time point: 886.0 | PatientsSeen: 13.0
Time point: 931.0 | PatientsSeen: 14.0
Time point: 990.0 | PatientsSeen: 15.0
Time point: 1054.0 | PatientsSeen: 16.0
Time point: 1116.0 | PatientsSeen: 17.0
Time point: 1180.0 | PatientsSeen: 18.0
Time point: 1242.0 | PatientsSeen: 19.0
Time point: 1305.0 | PatientsSeen: 20.0
Time point: 1367.0 | PatientsSeen: 21.0
Time point: 1432.0 | PatientsSeen: 22.0
Time point: 1495.0 | PatientsSeen: 23.0
Time point: 1556.0 | PatientsSeen: 24.0
Time point: 1620.0 | PatientsSeen: 25.0
Time point: 1682.0 | PatientsSeen: 26.0
Time point: 1747.0 | PatientsSeen: 27.0
Time point: 1808.0 | PatientsSeen: 28.0
Time point: 1872.0 | PatientsSeen: 29.0
Time point: 1935.0 | PatientsSeen: 30.0
Time point: 1998.0 | PatientsSeen: 31.0
Time point: 2061.0 | PatientsSeen: 32.0
Time point: 2125.0 | PatientsSeen: 33.0
Time point: 2187.0 | PatientsSeen: 34.0
Time point: 2250.0 | PatientsSeen: 35.0
Time point: 2311.0 | PatientsSeen: 36.0
Time point: 2376.0 | PatientsSeen: 37.0
Time point: 2440.0 | PatientsSeen: 38.0
Time point: 2503.0 | PatientsSeen: 39.0
Time point: 2566.0 | PatientsSeen: 40.0
Time point: 2628.0 | PatientsSeen: 41.0
Time point: 2691.0 | PatientsSeen: 42.0
Time point: 2755.0 | PatientsSeen: 43.0
Time point: 2817.0 | PatientsSeen: 44.0
Time point: 2881.0 | PatientsSeen: 45.0
Time point: 2943.0 | PatientsSeen: 46.0
Time point: 3007.0 | PatientsSeen: 47.0
Time point: 3070.0 | PatientsSeen: 48.0
Time point: 3130.0 | PatientsSeen: 49.0
Time point: 3195.0 | PatientsSeen: 50.0
Time point: 3259.0 | PatientsSeen: 51.0
Time point: 3321.0 | PatientsSeen: 52.0
Time point: 3385.0 | PatientsSeen: 53.0
Time point: 3446.0 | PatientsSeen: 54.0
Time point: 3511.0 | PatientsSeen: 55.0
Time point: 3574.0 | PatientsSeen: 56.0
