Time point: 687.0 | PatientsSeen: 1.0
Time point: 1312.0 | PatientsSeen: 2.0
Time point: 1937.0 | PatientsSeen: 3.0
Time point: 2562.0 | PatientsSeen: 4.0
Time point: 3187.0 | PatientsSeen: 5.0
Time point: 3812.0 | PatientsSeen: 6.0
Time point: 4435.0 | PatientsSeen: 7.0
Time point: 5059.0 | PatientsSeen: 8.0
Time point: 5684.0 | PatientsSeen: 9.0
Time point: 6309.0 | PatientsSeen: 10.0
Time point: 6933.0 | PatientsSeen: 11.0
Time point: 7558.0 | PatientsSeen: 12.0
Time point: 8181.0 | PatientsSeen: 13.0
Time point: 8807.0 | PatientsSeen: 14.0
