Time point: 278.0 | Happiness: 1.0
Time point: 507.0 | Happiness: 2.0
Time point: 565.0 | Happiness: 3.0
Time point: 688.0 | Happiness: 4.0
Time point: 916.0 | Happiness: 5.0
Time point: 1041.0 | Happiness: 6.0
Time point: 1057.0 | Happiness: 7.0
Time point: 1236.0 | Happiness: 8.0
Time point: 1252.0 | Happiness: 9.0
Time point: 1359.0 | Happiness: 10.0
Time point: 1617.0 | Happiness: 11.0
Time point: 1745.0 | Happiness: 12.0
Time point: 1881.0 | Happiness: 13.0
Time point: 2030.0 | Happiness: 14.0
Time point: 2152.0 | Happiness: 15.0
Time point: 2213.0 | Happiness: 16.0
Time point: 2229.0 | Happiness: 17.0
Time point: 2274.0 | Happiness: 18.0
Time point: 2398.0 | Happiness: 19.0
Time point: 2580.0 | Happiness: 20.0
Time point: 2660.0 | Happiness: 21.0
Time point: 2823.0 | Happiness: 22.0
Time point: 2958.0 | Happiness: 23.0
Time point: 2974.0 | Happiness: 24.0
Time point: 3147.0 | Happiness: 25.0
Time point: 3323.0 | Happiness: 26.0
Time point: 3495.0 | Happiness: 27.0
Time point: 3511.0 | Happiness: 28.0
Time point: 3527.0 | Happiness: 29.0
Time point: 3677.0 | Happiness: 30.0
Time point: 3813.0 | Happiness: 31.0
Time point: 4043.0 | Happiness: 32.0
Time point: 4226.0 | Happiness: 33.0
Time point: 4307.0 | Happiness: 34.0
Time point: 4483.0 | Happiness: 35.0
Time point: 4652.0 | Happiness: 36.0
Time point: 4668.0 | Happiness: 37.0
Time point: 4683.0 | Happiness: 38.0
Time point: 4836.0 | Happiness: 39.0
Time point: 5018.0 | Happiness: 40.0
Time point: 5161.0 | Happiness: 41.0
Time point: 5342.0 | Happiness: 42.0
Time point: 5522.0 | Happiness: 43.0
Time point: 5569.0 | Happiness: 44.0
Time point: 5752.0 | Happiness: 45.0
Time point: 5935.0 | Happiness: 46.0
Time point: 6118.0 | Happiness: 47.0
Time point: 6239.0 | Happiness: 48.0
Time point: 6255.0 | Happiness: 49.0
Time point: 6271.0 | Happiness: 50.0
Time point: 6422.0 | Happiness: 51.0
Time point: 6495.0 | Happiness: 52.0
Time point: 6542.0 | Happiness: 53.0
Time point: 6729.0 | Happiness: 54.0
Time point: 6869.0 | Happiness: 55.0
Time point: 6984.0 | Happiness: 56.0
Time point: 7155.0 | Happiness: 57.0
Time point: 7338.0 | Happiness: 58.0
Time point: 7519.0 | Happiness: 59.0
Time point: 7582.0 | Happiness: 60.0
Time point: 7598.0 | Happiness: 61.0
Time point: 7614.0 | Happiness: 62.0
Time point: 7826.0 | Happiness: 63.0
Time point: 7948.0 | Happiness: 64.0
Time point: 8205.0 | Happiness: 65.0
Time point: 8266.0 | Happiness: 66.0
Time point: 8402.0 | Happiness: 67.0
Time point: 8509.0 | Happiness: 68.0
Time point: 8556.0 | Happiness: 69.0
Time point: 8571.0 | Happiness: 70.0
Time point: 8679.0 | Happiness: 71.0
Time point: 8695.0 | Happiness: 72.0
Time point: 8864.0 | Happiness: 73.0
Time point: 8942.0 | Happiness: 74.0
Time point: 9104.0 | Happiness: 75.0
Time point: 9246.0 | Happiness: 76.0
Time point: 9425.0 | Happiness: 77.0
Time point: 9613.0 | Happiness: 78.0
Time point: 9776.0 | Happiness: 79.0
Time point: 9898.0 | Happiness: 80.0
Time point: 10021.0 | Happiness: 81.0
Time point: 10203.0 | Happiness: 82.0
Time point: 10326.0 | Happiness: 83.0
Time point: 10449.0 | Happiness: 84.0
Time point: 10630.0 | Happiness: 85.0
