Time point: 225.0 | PatientsSeen: 1.0
Time point: 434.0 | PatientsSeen: 2.0
Time point: 644.0 | PatientsSeen: 3.0
Time point: 854.0 | PatientsSeen: 4.0
Time point: 1064.0 | PatientsSeen: 5.0
Time point: 1274.0 | PatientsSeen: 6.0
Time point: 1484.0 | PatientsSeen: 7.0
Time point: 1695.0 | PatientsSeen: 8.0
Time point: 1904.0 | PatientsSeen: 9.0
Time point: 2113.0 | PatientsSeen: 10.0
Time point: 2323.0 | PatientsSeen: 11.0
Time point: 2532.0 | PatientsSeen: 12.0
Time point: 2742.0 | PatientsSeen: 13.0
Time point: 2953.0 | PatientsSeen: 14.0
Time point: 3162.0 | PatientsSeen: 15.0
Time point: 3370.0 | PatientsSeen: 16.0
Time point: 3580.0 | PatientsSeen: 17.0
Time point: 3788.0 | PatientsSeen: 18.0
Time point: 3998.0 | PatientsSeen: 19.0
Time point: 4208.0 | PatientsSeen: 20.0
Time point: 4417.0 | PatientsSeen: 21.0
Time point: 4625.0 | PatientsSeen: 22.0
Time point: 4835.0 | PatientsSeen: 23.0
Time point: 5044.0 | PatientsSeen: 24.0
Time point: 5254.0 | PatientsSeen: 25.0
Time point: 5462.0 | PatientsSeen: 26.0
Time point: 5671.0 | PatientsSeen: 27.0
Time point: 5879.0 | PatientsSeen: 28.0
Time point: 6089.0 | PatientsSeen: 29.0
Time point: 6299.0 | PatientsSeen: 30.0
Time point: 6510.0 | PatientsSeen: 31.0
Time point: 6719.0 | PatientsSeen: 32.0
Time point: 6929.0 | PatientsSeen: 33.0
Time point: 7139.0 | PatientsSeen: 34.0
