Time point: 228.0 | PatientsSeen: 1.0
Time point: 435.0 | PatientsSeen: 2.0
Time point: 643.0 | PatientsSeen: 3.0
Time point: 853.0 | PatientsSeen: 4.0
Time point: 1061.0 | PatientsSeen: 5.0
Time point: 1269.0 | PatientsSeen: 6.0
Time point: 1479.0 | PatientsSeen: 7.0
Time point: 1689.0 | PatientsSeen: 8.0
Time point: 1897.0 | PatientsSeen: 9.0
Time point: 2106.0 | PatientsSeen: 10.0
Time point: 2315.0 | PatientsSeen: 11.0
Time point: 2524.0 | PatientsSeen: 12.0
Time point: 2735.0 | PatientsSeen: 13.0
Time point: 2946.0 | PatientsSeen: 14.0
