Time point: 243.0 | PatientsSeen: 1.0
Time point: 454.0 | PatientsSeen: 2.0
Time point: 664.0 | PatientsSeen: 3.0
Time point: 874.0 | PatientsSeen: 4.0
Time point: 1083.0 | PatientsSeen: 5.0
Time point: 1293.0 | PatientsSeen: 6.0
Time point: 1503.0 | PatientsSeen: 7.0
Time point: 1713.0 | PatientsSeen: 8.0
Time point: 1921.0 | PatientsSeen: 9.0
Time point: 2131.0 | PatientsSeen: 10.0
Time point: 2342.0 | PatientsSeen: 11.0
Time point: 2551.0 | PatientsSeen: 12.0
Time point: 2759.0 | PatientsSeen: 13.0
Time point: 2970.0 | PatientsSeen: 14.0
Time point: 3180.0 | PatientsSeen: 15.0
Time point: 3389.0 | PatientsSeen: 16.0
Time point: 3599.0 | PatientsSeen: 17.0
Time point: 3808.0 | PatientsSeen: 18.0
Time point: 4018.0 | PatientsSeen: 19.0
Time point: 4229.0 | PatientsSeen: 20.0
Time point: 4438.0 | PatientsSeen: 21.0
Time point: 4648.0 | PatientsSeen: 22.0
Time point: 4858.0 | PatientsSeen: 23.0
Time point: 5067.0 | PatientsSeen: 24.0
Time point: 5277.0 | PatientsSeen: 25.0
