Time point: 345.0 | stress: 3.0
Time point: 512.0 | stress: 6.0
Time point: 862.0 | stress: 9.0
Time point: 1623.0 | stress: 12.0
Time point: 1634.0 | stress: 15.0
Time point: 3139.0 | stress: 18.0
Time point: 3442.0 | stress: 21.0
Time point: 3542.0 | stress: 24.0
Time point: 3846.0 | stress: 27.0
Time point: 4047.0 | stress: 30.0
Time point: 4754.0 | stress: 33.0
Time point: 5158.0 | stress: 36.0
Time point: 5360.0 | stress: 39.0
Time point: 5462.0 | stress: 42.0
Time point: 5563.0 | stress: 45.0
Time point: 7381.0 | stress: 48.0
Time point: 7785.0 | stress: 51.0
Time point: 8088.0 | stress: 54.0
Time point: 9804.0 | stress: 57.0
Time point: 10713.0 | stress: 60.0
Time point: 10814.0 | stress: 63.0
Time point: 11623.0 | stress: 66.0
Time point: 11926.0 | stress: 69.0
Time point: 12127.0 | stress: 72.0
Time point: 12330.0 | stress: 75.0
Time point: 13036.0 | stress: 78.0
Time point: 13440.0 | stress: 81.0
Time point: 13844.0 | stress: 84.0
Time point: 13946.0 | stress: 87.0
Time point: 14652.0 | stress: 90.0
Time point: 14956.0 | stress: 93.0
Time point: 15965.0 | stress: 96.0
Time point: 17279.0 | stress: 99.0
Time point: 17481.0 | stress: 102.0
Time point: 17582.0 | stress: 105.0
Time point: 19400.0 | stress: 108.0
Time point: 19501.0 | stress: 111.0
Time point: 19905.0 | stress: 114.0
Time point: 20107.0 | stress: 117.0
Time point: 20713.0 | stress: 120.0
Time point: 21722.0 | stress: 123.0
Time point: 21823.0 | stress: 126.0
Time point: 22127.0 | stress: 129.0
Time point: 23338.0 | stress: 132.0
Time point: 24146.0 | stress: 135.0
Time point: 24550.0 | stress: 138.0
Time point: 24753.0 | stress: 141.0
Time point: 25055.0 | stress: 144.0
Time point: 25359.0 | stress: 147.0
Time point: 27681.0 | stress: 150.0
Time point: 27883.0 | stress: 153.0
Time point: 28389.0 | stress: 156.0
Time point: 28489.0 | stress: 159.0
Time point: 29399.0 | stress: 162.0
