Time point: 1156.0 | stress: 3.0
Time point: 1219.0 | stress: 6.0
Time point: 1585.0 | stress: 9.0
Time point: 1826.0 | stress: 12.0
Time point: 2330.0 | stress: 15.0
Time point: 2533.0 | stress: 18.0
Time point: 3239.0 | stress: 21.0
Time point: 3340.0 | stress: 24.0
Time point: 3946.0 | stress: 27.0
Time point: 4957.0 | stress: 30.0
Time point: 5764.0 | stress: 33.0
Time point: 5966.0 | stress: 36.0
Time point: 7583.0 | stress: 39.0
Time point: 7683.0 | stress: 42.0
Time point: 7986.0 | stress: 45.0
Time point: 8491.0 | stress: 48.0
Time point: 9400.0 | stress: 51.0
Time point: 9905.0 | stress: 54.0
Time point: 10108.0 | stress: 57.0
Time point: 10410.0 | stress: 60.0
Time point: 10512.0 | stress: 63.0
Time point: 10612.0 | stress: 66.0
Time point: 12532.0 | stress: 69.0
Time point: 12632.0 | stress: 72.0
Time point: 12936.0 | stress: 75.0
Time point: 13642.0 | stress: 78.0
Time point: 14147.0 | stress: 81.0
Time point: 14248.0 | stress: 84.0
Time point: 14350.0 | stress: 87.0
Time point: 14854.0 | stress: 90.0
Time point: 15157.0 | stress: 93.0
Time point: 15764.0 | stress: 96.0
Time point: 16066.0 | stress: 99.0
Time point: 17076.0 | stress: 102.0
Time point: 17682.0 | stress: 105.0
Time point: 17986.0 | stress: 108.0
Time point: 18289.0 | stress: 111.0
Time point: 18390.0 | stress: 114.0
Time point: 18491.0 | stress: 117.0
Time point: 18894.0 | stress: 120.0
Time point: 19702.0 | stress: 123.0
Time point: 20309.0 | stress: 126.0
Time point: 20511.0 | stress: 129.0
Time point: 21117.0 | stress: 132.0
Time point: 21521.0 | stress: 135.0
Time point: 22025.0 | stress: 138.0
Time point: 22329.0 | stress: 141.0
Time point: 23137.0 | stress: 144.0
Time point: 23844.0 | stress: 147.0
Time point: 23945.0 | stress: 150.0
Time point: 24248.0 | stress: 153.0
Time point: 24854.0 | stress: 156.0
Time point: 25561.0 | stress: 159.0
Time point: 28187.0 | stress: 162.0
Time point: 28893.0 | stress: 165.0
Time point: 29196.0 | stress: 168.0
Time point: 29297.0 | stress: 171.0
Time point: 30005.0 | stress: 174.0
