Time point: 215.0 | stress: 3.0
Time point: 798.0 | stress: 6.0
Time point: 1126.0 | stress: 9.0
Time point: 1550.0 | stress: 12.0
Time point: 1725.0 | stress: 15.0
Time point: 1927.0 | stress: 18.0
Time point: 2432.0 | stress: 21.0
Time point: 2633.0 | stress: 24.0
Time point: 2936.0 | stress: 27.0
Time point: 4249.0 | stress: 30.0
Time point: 4855.0 | stress: 33.0
Time point: 5866.0 | stress: 36.0
Time point: 6068.0 | stress: 39.0
Time point: 6371.0 | stress: 42.0
Time point: 6674.0 | stress: 45.0
Time point: 6775.0 | stress: 48.0
Time point: 8188.0 | stress: 51.0
Time point: 8290.0 | stress: 54.0
Time point: 8592.0 | stress: 57.0
Time point: 8997.0 | stress: 60.0
Time point: 9098.0 | stress: 63.0
Time point: 9198.0 | stress: 66.0
Time point: 9603.0 | stress: 69.0
Time point: 11218.0 | stress: 72.0
Time point: 11420.0 | stress: 75.0
Time point: 11825.0 | stress: 78.0
Time point: 12229.0 | stress: 81.0
Time point: 12835.0 | stress: 84.0
Time point: 13138.0 | stress: 87.0
Time point: 13340.0 | stress: 90.0
Time point: 13541.0 | stress: 93.0
Time point: 14450.0 | stress: 96.0
Time point: 14754.0 | stress: 99.0
Time point: 15259.0 | stress: 102.0
Time point: 15662.0 | stress: 105.0
Time point: 16168.0 | stress: 108.0
Time point: 17178.0 | stress: 111.0
Time point: 17783.0 | stress: 114.0
Time point: 18187.0 | stress: 117.0
Time point: 18592.0 | stress: 120.0
Time point: 18693.0 | stress: 123.0
Time point: 19096.0 | stress: 126.0
Time point: 19298.0 | stress: 129.0
Time point: 21419.0 | stress: 132.0
Time point: 21622.0 | stress: 135.0
Time point: 22228.0 | stress: 138.0
Time point: 22429.0 | stress: 141.0
Time point: 22530.0 | stress: 144.0
Time point: 22935.0 | stress: 147.0
Time point: 23036.0 | stress: 150.0
Time point: 23642.0 | stress: 153.0
Time point: 24045.0 | stress: 156.0
Time point: 25460.0 | stress: 159.0
Time point: 25662.0 | stress: 162.0
Time point: 25762.0 | stress: 165.0
Time point: 26167.0 | stress: 168.0
Time point: 26268.0 | stress: 171.0
Time point: 26368.0 | stress: 174.0
Time point: 26571.0 | stress: 177.0
Time point: 26671.0 | stress: 180.0
Time point: 27075.0 | stress: 183.0
Time point: 28085.0 | stress: 186.0
Time point: 29600.0 | stress: 189.0
Time point: 29702.0 | stress: 192.0
