Time point: 139.0 | stress: 3.0
Time point: 715.0 | stress: 6.0
Time point: 750.0 | stress: 9.0
Time point: 918.0 | stress: 12.0
Time point: 1076.0 | stress: 15.0
Time point: 2129.0 | stress: 18.0
Time point: 2735.0 | stress: 21.0
Time point: 2836.0 | stress: 24.0
Time point: 3038.0 | stress: 27.0
Time point: 3644.0 | stress: 30.0
Time point: 3744.0 | stress: 33.0
Time point: 4149.0 | stress: 36.0
Time point: 4350.0 | stress: 39.0
Time point: 5663.0 | stress: 42.0
Time point: 6269.0 | stress: 45.0
Time point: 6471.0 | stress: 48.0
Time point: 6875.0 | stress: 51.0
Time point: 7077.0 | stress: 54.0
Time point: 7280.0 | stress: 57.0
Time point: 7885.0 | stress: 60.0
Time point: 8795.0 | stress: 63.0
Time point: 9300.0 | stress: 66.0
Time point: 10007.0 | stress: 69.0
Time point: 10309.0 | stress: 72.0
Time point: 11017.0 | stress: 75.0
Time point: 11521.0 | stress: 78.0
Time point: 12734.0 | stress: 81.0
Time point: 13239.0 | stress: 84.0
Time point: 13743.0 | stress: 87.0
Time point: 14046.0 | stress: 90.0
Time point: 15057.0 | stress: 93.0
Time point: 15359.0 | stress: 96.0
Time point: 15460.0 | stress: 99.0
Time point: 15864.0 | stress: 102.0
Time point: 16268.0 | stress: 105.0
Time point: 16369.0 | stress: 108.0
Time point: 16673.0 | stress: 111.0
Time point: 16875.0 | stress: 114.0
Time point: 17380.0 | stress: 117.0
Time point: 18086.0 | stress: 120.0
Time point: 18793.0 | stress: 123.0
Time point: 18995.0 | stress: 126.0
Time point: 19197.0 | stress: 129.0
Time point: 19804.0 | stress: 132.0
Time point: 20208.0 | stress: 135.0
Time point: 20410.0 | stress: 138.0
Time point: 20611.0 | stress: 141.0
Time point: 21015.0 | stress: 144.0
Time point: 21217.0 | stress: 147.0
Time point: 21924.0 | stress: 150.0
Time point: 22632.0 | stress: 153.0
Time point: 22833.0 | stress: 156.0
Time point: 23541.0 | stress: 159.0
Time point: 25156.0 | stress: 162.0
Time point: 25258.0 | stress: 165.0
Time point: 25964.0 | stress: 168.0
Time point: 26974.0 | stress: 171.0
Time point: 27177.0 | stress: 174.0
Time point: 27278.0 | stress: 177.0
Time point: 27581.0 | stress: 180.0
Time point: 27984.0 | stress: 183.0
Time point: 28287.0 | stress: 186.0
Time point: 29095.0 | stress: 189.0
