Time point: 37.0 | stress: 3.0
Time point: 244.0 | stress: 6.0
Time point: 323.0 | stress: 9.0
Time point: 372.0 | stress: 12.0
Time point: 438.0 | stress: 15.0
Time point: 474.0 | stress: 18.0
Time point: 613.0 | stress: 21.0
Time point: 816.0 | stress: 24.0
Time point: 1422.0 | stress: 27.0
Time point: 1457.0 | stress: 30.0
Time point: 2028.0 | stress: 33.0
Time point: 2229.0 | stress: 36.0
Time point: 4452.0 | stress: 39.0
Time point: 4552.0 | stress: 42.0
Time point: 4653.0 | stress: 45.0
Time point: 5058.0 | stress: 48.0
Time point: 5260.0 | stress: 51.0
Time point: 6168.0 | stress: 54.0
Time point: 6573.0 | stress: 57.0
Time point: 6977.0 | stress: 60.0
Time point: 7178.0 | stress: 63.0
Time point: 7482.0 | stress: 66.0
Time point: 8390.0 | stress: 69.0
Time point: 8694.0 | stress: 72.0
Time point: 8896.0 | stress: 75.0
Time point: 9502.0 | stress: 78.0
Time point: 9703.0 | stress: 81.0
Time point: 10209.0 | stress: 84.0
Time point: 10915.0 | stress: 87.0
Time point: 11117.0 | stress: 90.0
Time point: 11320.0 | stress: 93.0
Time point: 11723.0 | stress: 96.0
Time point: 12027.0 | stress: 99.0
Time point: 12431.0 | stress: 102.0
Time point: 14552.0 | stress: 105.0
Time point: 15562.0 | stress: 108.0
Time point: 16470.0 | stress: 111.0
Time point: 16571.0 | stress: 114.0
Time point: 16774.0 | stress: 117.0
Time point: 16975.0 | stress: 120.0
Time point: 17885.0 | stress: 123.0
Time point: 19601.0 | stress: 126.0
Time point: 20006.0 | stress: 129.0
Time point: 20813.0 | stress: 132.0
Time point: 20914.0 | stress: 135.0
Time point: 21319.0 | stress: 138.0
Time point: 22733.0 | stress: 141.0
Time point: 23238.0 | stress: 144.0
Time point: 23439.0 | stress: 147.0
Time point: 23743.0 | stress: 150.0
Time point: 24349.0 | stress: 153.0
Time point: 24449.0 | stress: 156.0
Time point: 24652.0 | stress: 159.0
Time point: 24954.0 | stress: 162.0
Time point: 25863.0 | stress: 165.0
Time point: 26066.0 | stress: 168.0
Time point: 26469.0 | stress: 171.0
Time point: 26773.0 | stress: 174.0
Time point: 26874.0 | stress: 177.0
Time point: 27379.0 | stress: 180.0
Time point: 27479.0 | stress: 183.0
Time point: 27783.0 | stress: 186.0
Time point: 28591.0 | stress: 189.0
Time point: 28691.0 | stress: 192.0
Time point: 28793.0 | stress: 195.0
Time point: 28995.0 | stress: 198.0
Time point: 29500.0 | stress: 201.0
Time point: 29802.0 | stress: 204.0
Time point: 29904.0 | stress: 207.0
