"agentName","patientgetAliveTime"
"115",0
"124",0
"123",0
"62",0
"164",0
"38",11700
"28",0
"103",0
"44",0
"131",0
"148",0
"120",0
"174",0
"35",11460
"34",0
"66",13440
"166",0
"93",0
"32",11580
"68",0
"106",0
"132",0
"158",0
"22",0
"154",0
"161",0
"169",0
"170",0
"99",0
"162",0
"48",19920
"153",0
"31",0
"33",0
"147",0
"58",14640
"108",0
"36",0
"142",0
"56",12600
"92",0
"135",0
"63",0
"104",0
"50",0
"81",0
"111",0
"72",13680
"76",0
"43",0
"42",0
"86",0
"107",0
"156",0
"110",0
"89",0
"25",0
"59",0
"88",0
"46",0
"60",13920
"51",20640
"139",0
"176",0
"77",0
"128",0
"105",0
"30",0
"163",0
"57",0
"101",0
"130",0
"39",0
"69",14100
"53",0
"152",0
"45",0
"126",0
"113",0
"78",0
"172",0
"121",0
"73",0
"173",0
"82",0
"141",0
"129",0
"37",0
"67",0
"138",0
"165",0
"145",0
"75",18840
"137",0
"27",0
"47",0
"26",0
"97",0
"61",0
"127",0
"116",0
"54",12300
"102",0
"90",0
"167",0
"84",0
"149",0
"71",0
"100",0
"160",0
"146",0
"134",0
"159",0
"83",17280
"64",0
"112",0
"144",0
"118",0
"157",0
"175",0
"85",0
"114",0
"49",0
"109",0
"70",0
"80",0
"87",0
"119",0
"41",13380
"133",0
"29",0
"125",0
"136",0
"143",0
"74",0
"79",0
"52",0
"155",0
"55",0
"171",0
"96",0
"23",0
"65",0
"117",0
"20",0
"150",0
"40",0
"151",0
"177",0
"24",0
"98",0
"91",0
"21",0
"140",0
"94",0
"122",0
"168",0
"95",0
