"agentName","patientgetAliveTime"
"1963",6720
"2097",0
"2119",0
"2037",25500
"2049",24840
"1932",6660
"2109",0
"1944",6600
"1933",6720
"1949",6000
"2086",0
"2042",20940
"2107",0
"2040",12900
"2060",19620
"1928",6000
"1973",8340
"1953",6120
"2043",22260
"2023",18060
"1946",7020
"2019",16440
"2031",17040
"2072",0
"1956",5940
"1938",7560
"2071",25440
"2038",13380
"2105",0
"2133",0
"2016",12600
"2052",20520
"1983",7080
"1980",9480
"2011",17220
"2001",12000
"2088",0
"2067",24060
"1930",6720
"2074",19080
"2116",0
"1995",15780
"1940",6720
"2003",18180
"2083",23220
"2004",12240
"1974",6240
"2104",0
"2018",15060
"1957",5820
"1990",9540
"2061",21120
"1969",9000
"2058",21720
"2100",0
"1978",6600
"2077",21960
"2087",0
"2090",0
"2047",19680
"1937",5880
"2064",25740
"1986",8700
"1971",9360
"2057",21600
"2017",7620
"2051",17400
"2130",0
"2056",21060
"2120",0
"2044",11460
"2041",14280
"1958",5940
"2127",0
"1950",7140
"2079",23460
"2080",22800
"2125",0
"1996",6600
"2124",0
"2112",0
"2015",10380
"2009",9840
"2062",24420
"2115",0
"2068",26940
"2123",0
"1941",5880
"1997",8820
"2069",0
"1999",6300
"1939",6660
"2012",12780
"2121",0
"1993",10260
"2089",0
"2114",0
"1962",6720
"2046",25560
"1935",5880
"1959",6600
"2006",11400
"2113",0
"2022",7680
"2027",25440
"1965",5760
"2039",19140
"2117",0
"1948",6000
"1987",8400
"2000",11220
"2014",18120
"1955",6540
"2059",19200
"2095",0
"2131",0
"1982",6540
"2050",13980
"1934",5880
"2034",11160
"1984",9900
"2101",0
"2108",0
"1931",7140
"2111",0
"2093",0
"1943",6240
"2084",0
"1936",6120
"2085",0
"2106",0
"2091",0
"2103",0
"2026",19620
"2102",0
"1947",6000
"2020",8640
"2076",0
"1994",7860
"1998",10380
"1964",8760
"2025",17400
"2122",0
"1926",6540
"2030",13140
"1992",12060
"2110",0
"1970",8640
"1989",7020
"2005",12600
"2045",10560
"2021",17040
"2028",11880
"1960",5880
"1976",9480
"2094",0
"1979",6780
"2134",0
"2033",17460
"2075",17280
"2118",0
"2098",0
"2096",0
"2055",22080
"2092",0
"1988",7260
"2024",9420
"2029",12060
"1991",13260
"2082",0
"2048",17820
"2036",22440
"2013",13740
"1966",9540
"1952",6180
"2053",15240
"2078",0
"1951",6540
"1972",6660
"2063",0
"2007",9480
"1977",7260
"1954",6480
"1985",7440
"2035",17820
"2073",0
"2032",18120
"1968",9180
"1981",6900
"1925",6600
"2008",12600
"2099",0
"2002",11940
"1929",5760
"2132",0
"1945",8640
"2054",14820
"2066",22800
"1942",6900
"2129",0
"2081",23820
"2126",0
"1961",9060
"2065",24120
"1975",7380
"2128",0
"1924",6060
"2070",24900
"1967",6360
"2010",12360
"1927",7200
"2313",9360
"2187",8460
"2272",26160
"2097",23940
"2119",17760
"2192",12240
"2210",12180
"2253",9540
"2109",26880
"2319",0
"2267",25860
"2293",0
"2216",11940
"2254",23280
"2310",0
"2326",0
"2086",27060
"2197",13080
"2249",19860
"2318",0
"2316",0
"2156",20340
"2107",15840
"2180",12900
"2235",7440
"2217",15720
"2306",10380
"2339",0
"2195",12060
"2320",7740
"2270",10080
"2072",28020
"2147",21420
"2233",21420
"2137",14340
"2183",9720
"2315",0
"2247",10500
"2153",20460
"2223",14940
"2182",9960
"2105",28020
"2205",11820
"2335",0
"2167",13260
"2133",26160
"2202",11760
"2261",10740
"2295",0
"2231",19980
"2161",16260
"2256",9720
"2088",24060
"2288",0
"2218",16920
"2241",10260
"2116",16800
"2224",19260
"2157",19320
"2277",0
"2212",13020
"2188",8940
"2260",11040
"2166",13800
"2175",10620
"2330",0
"2225",19440
"2185",13500
"2152",20460
"2213",16140
"2104",26760
"2136",16860
"2328",0
"2100",25680
"2145",20760
"2323",0
"2087",24600
"2211",8820
"2090",24360
"2334",0
"2138",24360
"2290",0
"2155",19440
"2130",26760
"2120",24600
"2150",24240
"2232",24300
"2127",19200
"2135",23580
"2258",20940
"2264",25740
"2321",0
"2204",10080
"2125",24660
"2342",0
"2168",13860
"2169",14100
"2257",23820
"2274",13680
"2124",26460
"2163",16800
"2112",29700
"2276",12840
"2154",18540
"2115",16980
"2123",24600
"2246",20160
"2141",25320
"2208",10440
"2069",27480
"2284",10260
"2289",12180
"2201",11460
"2244",10200
"2143",19560
"2149",17160
"2255",20640
"2160",20400
"2227",18060
"2121",20100
"2281",10620
"2089",23280
"2114",12540
"2191",11880
"2285",0
"2151",18780
"2178",9480
"2113",35820
"2292",0
"2269",9360
"2314",0
"2209",13080
"2329",0
"2162",15180
"2273",0
"2287",11940
"2117",28860
"2164",16980
"2327",0
"2336",0
"2312",0
"2296",13680
"2172",24120
"2193",9120
"2095",24420
"2131",17520
"2279",0
"2196",9720
"2245",19320
"2259",10560
"2263",20280
"2291",0
"2101",17520
"2108",24420
"2111",27000
"2280",0
"2311",0
"2093",24900
"2308",0
"2084",27180
"2085",33600
"2106",26520
"2170",16920
"2337",0
"2206",9660
"2189",8580
"2190",11220
"2165",13740
"2286",0
"2091",26580
"2177",18120
"2103",27060
"2239",25920
"2341",0
"2102",29520
"2139",15660
"2222",14460
"2294",12180
"2230",20100
"2282",13020
"2122",25020
"2148",21360
"2298",0
"2203",13680
"2236",6300
"2265",11400
"2110",28200
"2324",0
"2184",6300
"2173",11040
"2303",0
"2251",19980
"2226",16440
"2240",11700
"2198",9480
"2333",0
"2237",18540
"2305",10860
"2176",13800
"2215",10860
"2094",24420
"2219",12420
"2134",14820
"2266",21360
"2278",25260
"2118",17880
"2098",27720
"2096",24000
"2248",26040
"2092",21120
"2144",18720
"2221",13260
"2271",0
"2214",12660
"2082",25440
"2140",15660
"2322",0
"2159",18300
"2275",24300
"2250",20520
"2301",0
"2283",12060
"2325",0
"2194",16800
"2078",31500
"2158",18240
"2268",21900
"2063",28260
"2309",0
"2340",0
"2073",27240
"2146",20160
"2200",8580
"2243",10140
"2242",18360
"2317",0
"2220",15000
"2234",15120
"2174",11820
"2099",26280
"2300",0
"2307",0
"2132",30540
"2302",12900
"2252",25200
"2331",0
"2338",0
"2181",7860
"2238",22260
"2179",11280
"2129",32820
"2297",9780
"2142",17820
"2126",29820
"2262",7560
"2332",0
