"agentName","patientgetAliveTime"
"98",7380
"132",10200
"247",0
"196",24060
"115",8580
"137",12300
"187",19200
"51",7140
"107",10860
"66",6000
"254",0
"111",11460
"50",5880
"80",6420
"78",6060
"101",10320
"60",9120
"201",24660
"84",6960
"96",10560
"198",0
"183",22920
"126",13800
"227",0
"229",0
"170",0
"127",10500
"175",18240
"221",0
"90",6660
"182",16920
"216",0
"85",6000
"63",7080
"112",12300
"249",0
"59",6540
"206",20460
"58",6720
"74",5940
"185",17760
"214",0
"144",15600
"213",0
"71",5820
"245",0
"200",20340
"64",6120
"77",5880
"223",0
"242",0
"165",13680
"72",6720
"89",7980
"88",6780
"168",24240
"224",0
"164",16860
"181",23040
"157",15900
"55",6720
"136",11580
"258",0
"232",0
"113",8700
"260",0
"215",0
"207",0
"209",18780
"159",13800
"76",6780
"226",0
"94",10860
"110",9720
"149",17400
"73",7620
"128",16020
"75",6000
"188",19920
"237",0
"125",13620
"210",0
"160",13020
"174",17880
"179",19140
"150",14220
"114",10860
"243",0
"235",0
"228",0
"154",13020
"62",5760
"116",11220
"192",19320
"68",5940
"102",7920
"91",6360
"186",23400
"118",9240
"148",14640
"69",5820
"203",0
"131",16440
"167",15300
"222",0
"151",15060
"141",16860
"105",9120
"166",13500
"82",7020
"124",10320
"134",11820
"138",11820
"253",0
"93",6480
"199",23220
"65",5940
"220",0
"129",11640
"172",15000
"103",10320
"145",16920
"205",0
"225",0
"236",0
"146",17340
"152",13260
"156",12240
"104",9600
"87",7080
"178",20820
"212",0
"217",0
"252",0
"120",22320
"155",17640
"259",0
"70",6900
"147",13500
"162",16740
"54",6600
"79",5940
"158",14580
"250",0
"143",13500
"130",14820
"57",11100
"251",0
"197",21780
"56",6060
"133",16560
"173",23760
"184",19740
"255",0
"204",20700
"246",0
"83",6000
"202",24540
"86",7020
"256",0
"48",6120
"117",8400
"218",0
"161",13740
"194",24060
"191",21600
"99",7560
"189",19920
"121",10020
"139",15120
"219",0
"106",9540
"153",14100
"176",15600
"180",20580
"233",0
"108",11400
"208",0
"248",0
"81",5880
"122",9660
"171",19920
"211",19320
"53",9420
"195",20460
"238",0
"61",5940
"92",6900
"261",0
"49",6720
"244",0
"95",9120
"230",0
"177",18960
"239",0
"97",8940
"142",18120
"100",10860
"241",0
"140",15240
"123",10200
"190",20520
"169",15060
"119",12780
"234",0
"240",0
"257",0
"109",13260
"52",6660
"231",0
"163",13500
"135",11220
"193",21720
"47",8040
"67",6720
"429",0
"306",13980
"321",8700
"366",19080
"462",0
"405",18360
"247",26640
"432",0
"395",17280
"303",7680
"359",13800
"254",21000
"469",0
"339",11520
"348",16140
"277",18720
"473",0
"403",23880
"456",0
"470",0
"399",23160
"385",19440
"407",18240
"198",27540
"326",14280
"297",11040
"287",16680
"274",16980
"263",19260
"387",24120
"431",0
"360",11880
"227",23520
"342",12960
"411",17820
"285",15420
"457",0
"354",10140
"467",0
"229",22020
"446",0
"296",10680
"170",38280
"398",24900
"415",0
"312",12000
"394",16500
"310",9060
"340",13980
"221",19260
"375",19560
"216",25020
"477",0
"327",13380
"363",14760
"472",0
"249",20160
"361",15000
"386",19380
"266",19860
"305",6840
"438",0
"331",10080
"393",24660
"424",0
"452",0
"371",17520
"479",0
"214",27720
"213",20160
"367",17580
"245",23580
"475",0
"284",16620
"445",0
"223",19020
"426",0
"454",0
"242",18420
"481",0
"434",0
"224",22680
"346",15600
"369",14100
"374",22560
"271",18000
"335",11880
"356",17160
"401",23640
"258",19980
"471",0
"232",18660
"260",21000
"215",31080
"332",11160
"283",17100
"380",16680
"420",0
"207",22440
"262",22980
"423",0
"384",21600
"451",0
"410",25800
"226",23520
"292",20820
"304",7080
"373",17640
"329",9600
"377",15900
"237",19020
"436",0
"447",0
"210",22860
"243",18840
"449",0
"444",0
"235",17820
"370",11460
"388",19560
"416",19500
"455",0
"228",26820
"353",16020
"281",18180
"421",0
"383",18120
"450",0
"300",10320
"362",10800
"463",0
"203",43260
"382",12780
"437",0
"222",19380
"307",6540
"406",25440
"330",9660
"264",19140
"278",19080
"378",14460
"352",9600
"286",17520
"357",13320
"313",10020
"430",0
"345",14100
"350",15180
"358",14640
"419",21420
"253",21000
"478",0
"314",10140
"428",0
"343",16740
"299",8640
"265",18840
"220",19020
"402",18360
"435",0
"372",13020
"205",25500
"225",27180
"236",17820
"439",0
"441",0
"334",9900
"466",0
"396",24180
"365",13080
"368",11100
"212",23940
"458",0
"272",17400
"217",18240
"252",28020
"259",21240
"293",13020
"347",15000
"414",22920
"298",14100
"317",7320
"320",8940
"276",19440
"379",20520
"459",0
"322",11100
"425",0
"269",26040
"250",27060
"315",11760
"412",20520
"282",21720
"381",18780
"324",8640
"341",14820
"442",0
"251",19500
"333",14460
"476",0
"480",0
"255",27780
"279",17940
"461",0
"400",14040
"302",9900
"319",9600
"246",29880
"311",8340
"364",12540
"316",7200
"422",0
"474",0
"392",18840
"256",20700
"218",22020
"397",21660
"465",0
"433",0
"408",20940
"291",12600
"219",18600
"440",0
"376",21720
"344",12600
"290",16440
"323",13080
"391",21720
"413",22260
"233",28800
"208",22320
"318",9060
"468",0
"248",19800
"270",21780
"308",9420
"273",18360
"238",18540
"448",0
"261",28020
"301",11520
"244",23460
"355",12780
"230",18360
"351",9720
"443",0
"239",20400
"295",12540
"349",20100
"309",10140
"328",9960
"338",11220
"389",19080
"280",17820
"267",18780
"241",21900
"325",9000
"453",0
"288",12780
"417",22800
"289",16920
"275",18960
"294",15600
"482",0
"460",0
"234",32580
"240",29040
"257",20700
"390",19080
"231",28200
"337",11640
"464",0
"336",8760
"268",19020
"409",19920
"418",22680
"404",19800
"427",0
"429",28680
"636",16800
"462",25800
"555",14520
"604",14700
"432",21480
"580",20400
"533",8700
"658",0
"563",17760
"664",0
"597",16320
"534",13380
"519",19500
"469",26700
"562",14400
"583",14640
"606",14400
"550",9660
"473",24960
"456",27660
"470",27660
"571",9120
"617",15840
"527",10200
"431",21180
"501",15360
"674",0
"457",22980
"467",19920
"509",11280
"591",7140
"628",13800
"446",25740
"589",11700
"415",30840
"577",14400
"639",0
"610",18180
"492",23280
"541",13080
"561",11760
"477",28500
"656",0
"472",26400
"438",24840
"546",10860
"659",0
"661",0
"424",24360
"522",12720
"452",24960
"479",29520
"512",19680
"650",0
"586",14340
"654",0
"475",27060
"445",26040
"426",27360
"454",24540
"556",19260
"481",26880
"434",24180
"648",0
"657",0
"599",6780
"665",0
"552",8040
"471",22620
"575",13440
"584",14160
"502",23400
"620",16380
"510",18300
"615",18240
"423",23400
"668",0
"574",14760
"551",16740
"631",16500
"451",20220
"518",17160
"513",20760
"488",23340
"594",12600
"549",17160
"622",18780
"436",27720
"447",28620
"539",16980
"538",11760
"625",15660
"449",28200
"444",27300
"616",14100
"567",22680
"673",0
"504",13920
"455",27960
"565",17220
"566",17280
"642",14880
"653",0
"494",23100
"548",16680
"520",22560
"421",23940
"489",18480
"450",27600
"675",0
"463",21660
"437",25020
"640",0
"579",14700
"486",18900
"515",19200
"600",10440
"430",25800
"554",13260
"663",0
"537",7860
"626",20640
"593",16980
"478",24240
"602",13500
"428",23820
"490",26580
"553",6720
"435",29040
"633",15180
"609",17760
"603",13620
"439",29760
"441",20460
"531",11040
"466",22560
"672",0
"458",23820
"671",0
"517",17280
"506",20220
"493",24360
"605",10440
"558",15120
"529",12660
"516",11040
"528",14880
"619",11760
"585",9960
"618",12600
"623",21960
"459",27360
"543",12600
"485",15240
"646",0
"425",24240
"632",16620
"601",12780
"569",14160
"442",22560
"652",0
"572",10260
"476",27120
"480",26640
"497",22620
"635",0
"461",26880
"499",24180
"607",8940
"662",0
"524",20220
"542",10500
"559",16800
"647",0
"422",23820
"614",14280
"596",11640
"621",16860
"474",26040
"523",14640
"667",0
"587",16620
"500",13140
"530",9360
"595",7440
"638",0
"526",15780
"540",12720
"582",6900
"590",13920
"592",10740
"612",12840
"507",16680
"514",22140
"465",29040
"433",25320
"598",16560
"496",16800
"649",12120
"660",0
"483",25800
"576",10440
"440",30600
"611",11040
"511",17400
"634",15000
"468",26640
"536",13620
"627",12180
"629",0
"544",12780
"508",18480
"547",12960
"581",17220
"448",29580
"484",24900
"643",0
"645",0
"666",0
"557",15660
"573",10560
"588",15060
"655",0
"521",26580
"637",16260
"487",23160
"491",23700
"564",14580
"443",33360
"498",22500
"545",14100
"651",0
"568",12120
"535",7740
"570",11820
"670",0
"453",30360
"505",16260
"482",26520
"578",13140
"460",25740
"560",21480
"525",18120
"641",0
"669",0
"624",14940
"503",22020
"495",24360
"644",0
"608",10080
"464",28500
"532",11160
"613",14280
"630",18240
"427",24120
"898",0
"702",11280
"846",0
"876",0
"751",10800
"839",0
"802",16680
"718",6360
"735",8520
"658",18240
"686",16380
"733",8700
"795",16260
"737",12660
"664",16740
"773",13440
"679",14820
"690",10920
"901",0
"697",11880
"812",15540
"780",16740
"843",0
"877",0
"746",15480
"895",0
"786",21780
"824",0
"750",11820
"720",7080
"890",0
"816",25500
"754",14760
"844",20220
"706",7560
"674",13620
"856",0
"708",6120
"762",15840
"639",17100
"713",7440
"797",28080
"769",19140
"885",0
"761",17520
"770",13560
"703",8820
"683",14160
"784",12120
"888",0
"858",0
"656",18780
"752",12660
"659",14220
"661",15360
"868",12660
"892",0
"743",8460
"787",22020
"650",18060
"864",11580
"854",0
"654",13740
"768",14940
"852",0
"842",16260
"838",15120
"711",6840
"738",9540
"830",13860
"837",0
"755",17160
"815",16260
"744",9660
"705",7560
"758",12000
"648",16200
"817",0
"678",12840
"657",15120
"894",0
"684",10920
"725",6420
"665",16140
"727",11220
"749",13740
"874",0
"719",7680
"778",16380
"818",15360
"803",29400
"899",0
"775",20040
"728",8880
"668",18300
"698",11460
"808",19560
"756",11820
"767",15120
"757",16560
"681",9480
"765",15720
"807",29340
"791",14400
"734",9000
"760",12120
"833",15420
"673",15600
"776",16560
"777",20340
"745",11220
"886",0
"805",27720
"694",12480
"849",0
"653",17760
"804",30600
"880",0
"748",11640
"851",16620
"870",0
"675",13920
"771",16080
"722",6840
"699",10140
"709",8880
"640",17040
"783",19320
"732",7920
"772",21060
"861",0
"883",0
"677",16260
"847",0
"663",14520
"731",7680
"811",25200
"855",16320
"682",10800
"878",0
"689",11100
"741",12060
"704",7620
"730",8280
"685",14040
"863",0
"794",17940
"672",15960
"759",9420
"671",13800
"799",19440
"822",0
"687",14940
"789",25800
"884",0
"715",6060
"723",5940
"739",19500
"788",19680
"848",0
