"agentName","patientgetAliveTime"
"103",6960
"256",0
"79",6540
"154",19560
"178",24960
"174",22680
"112",9360
"84",10320
"96",7980
"75",6540
"194",8100
"80",7380
"119",6960
"90",7500
"156",14280
"102",0
"133",10380
"114",0
"163",18960
"262",0
"72",4740
"116",11760
"127",7740
"193",0
"227",7620
"259",0
"100",5520
"218",0
"214",0
"52",5040
"263",0
"200",7020
"238",0
"223",0
"251",0
"186",27420
"59",4740
"252",0
"94",0
"217",0
"160",16200
"145",7080
"73",6900
"123",10260
"213",6960
"255",0
"104",7980
"150",14280
"229",0
"142",13260
"170",23400
"53",4740
"235",6960
"140",12240
"176",25920
"192",0
"113",8040
"188",7320
"88",6780
"220",0
"125",7860
"155",14760
"165",19020
"101",6300
"202",7260
"249",0
"201",0
"58",4800
"70",4680
"159",14940
"71",4740
"118",10800
"241",0
"64",4920
"244",6840
"106",6900
"205",0
"48",4920
"180",7500
"190",7560
"216",7860
"99",7620
"139",7200
"158",7080
"171",6840
"221",0
"86",6780
"105",7980
"148",13740
"210",6840
"183",6840
"184",26760
"226",0
"51",4920
"236",0
"91",6660
"63",7140
"78",5100
"55",6000
"169",19920
"164",18060
"136",7260
"98",5880
"67",7080
"225",6780
"232",0
"191",0
"117",9780
"82",4800
"77",5100
"181",25860
"147",7320
"166",7320
"109",9840
"47",6840
"83",4740
"209",0
"89",5580
"215",0
"257",0
"85",4620
"175",24840
"245",6540
"146",11220
"167",20460
"179",0
"247",0
"49",4980
"151",13200
"137",12720
"187",0
"157",17820
"131",8760
"231",6900
"68",9420
"50",6960
"197",0
"195",0
"74",6660
"141",13740
"199",0
"161",18660
"110",9660
"207",0
"206",0
"107",0
"87",4740
"115",9120
"219",7260
"60",6360
"253",0
"248",0
"97",5640
"153",6900
"124",7200
"92",4680
"212",0
"126",7620
"233",0
"121",7680
"122",7860
"57",5220
"254",0
"189",0
"135",11160
"182",6780
"172",22920
"196",0
"203",8160
"168",20640
"108",8580
"130",9060
"162",16320
"65",7260
"250",0
"132",8220
"258",0
"138",10560
"239",0
"149",13920
"95",5580
"242",0
"129",12540
"144",10320
"152",14700
"185",26160
"208",0
"81",4800
"120",10380
"222",6720
"69",6300
"228",0
"243",6720
"134",12240
"261",0
"93",4620
"143",11820
"61",5760
"56",6600
"66",4920
"230",0
"211",6660
"76",9060
"128",8280
"246",0
"234",0
"111",7380
"173",0
"198",6540
"62",5820
"177",7200
"260",0
"204",6720
"54",5280
"240",6600
"224",7380
"237",7020
"256",7320
"327",6840
"348",10080
"436",14580
"431",14880
"399",9900
"470",0
"456",16560
"478",0
"359",10500
"102",0
"429",0
"346",0
"114",0
"385",0
"299",0
"262",42540
"467",0
"193",30420
"469",0
"487",0
"347",0
"491",0
"468",0
"322",0
"259",38160
"344",0
"474",0
"285",6540
"380",0
"464",0
"489",0
"218",0
"457",0
"214",33660
"263",43080
"238",34800
"441",0
"486",0
"223",34920
"251",6900
"447",16920
"413",0
"382",0
"252",0
"276",52920
"94",0
"428",0
"372",0
"418",14520
"217",34560
"434",0
"389",0
"324",0
"345",7560
"379",11640
"442",14760
"255",36960
"446",15540
"426",0
"229",34800
"318",0
"422",15060
"443",0
"490",0
"439",0
"350",0
"275",60960
"361",8700
"334",0
"458",15900
"192",26820
"297",0
"220",33900
"409",13260
"484",0
"249",6960
"462",14760
"201",31500
"312",10980
"471",0
"292",0
"332",7920
"368",0
"369",0
"241",34560
"461",0
"286",6960
"273",6720
"205",33000
"394",0
"310",8460
"355",0
"325",0
"352",0
"270",44820
"336",0
"381",0
"287",6540
"309",6600
"479",0
"221",33780
"323",0
"283",0
"295",0
"366",0
"423",0
"308",0
"390",12900
"427",13440
"339",0
"226",33600
"365",0
"386",12360
"236",34980
"466",0
"280",6660
"450",16740
"398",11340
"492",0
"232",34320
"191",29880
"460",13320
"412",0
"265",44940
"401",14460
"449",17820
"454",0
"445",0
"293",6600
"404",13500
"349",11340
"360",0
"438",14760
"209",34140
"266",6720
"215",34860
"463",0
"257",39360
"338",0
"272",54780
"452",0
"289",0
"397",0
"419",12420
"455",15420
"473",0
"421",0
"179",0
"247",34140
"393",0
"321",0
"268",43380
"408",0
"407",0
"483",0
"424",0
"274",0
"314",0
"480",0
"304",6540
"326",0
"414",18720
"187",29460
"425",0
"411",0
"495",0
"306",0
"335",9840
"329",7740
"375",8520
"387",0
"279",65340
"294",7020
"459",0
"388",13020
"197",33960
"195",29580
"277",59460
"391",15600
"437",13800
"488",0
"199",32040
"207",33120
"341",0
"206",32700
"307",0
"107",0
"317",0
"396",0
"253",36060
"248",34320
"498",0
"337",0
"311",0
"416",13620
"358",10740
"212",34020
"405",0
"233",35280
"444",15360
"305",0
"472",0
"278",72660
"254",36180
"282",72900
"189",33420
"340",6660
"303",0
"395",14580
"482",0
"196",31440
"364",0
"406",17400
"420",0
"476",0
"485",0
"376",11700
"291",0
"271",46560
"250",34980
"362",10920
"258",41760
"367",9960
"477",0
"239",34860
"269",7440
"333",0
"402",0
"496",0
"313",0
"242",34680
"432",0
"400",8820
"453",0
"301",0
"475",0
"377",0
"298",6540
"208",33600
"392",0
"465",0
"494",0
"228",33720
"433",13920
"331",6540
"261",41700
"351",9900
"435",0
"281",6900
"440",0
"378",11820
"302",6660
"319",0
"451",0
"230",0
"284",0
"288",0
"417",0
"374",11580
"300",6720
"403",0
"296",0
"481",0
"410",0
"430",0
"264",42120
"316",6900
"353",10320
"448",16320
"246",33960
"328",0
"373",0
"234",34680
"290",0
"330",0
"356",0
"173",0
"363",0
"354",0
"384",0
"267",45840
"342",0
"371",0
"383",0
"260",6540
"343",9000
"357",0
"415",0
"315",0
"370",7680
"320",0
"497",0
"493",0
