"agentName","patientgetAliveTime"
"107",20700
"230",0
"60",5280
"190",14520
"63",5580
"246",0
"128",16020
"227",16260
"183",0
"168",18120
"54",6720
"56",6540
"245",0
"84",5880
"275",0
"206",18480
"152",16860
"235",0
"113",10080
"172",14220
"157",0
"234",0
"64",7500
"111",27360
"203",0
"139",32400
"241",0
"50",4740
"145",0
"116",10620
"218",18300
"103",22680
"119",7860
"213",0
"105",7260
"239",0
"47",0
"256",0
"117",27420
"127",11460
"178",0
"71",9240
"131",15180
"262",0
"273",0
"95",20220
"243",0
"57",4980
"118",9960
"66",4620
"253",0
"185",0
"142",0
"160",0
"274",0
"191",0
"162",0
"65",4620
"281",0
"136",33120
"61",5280
"133",31260
"180",12900
"258",0
"122",12840
"188",0
"149",0
"85",6480
"98",16560
"114",0
"55",4920
"77",6600
"205",0
"229",0
"276",0
"82",6480
"170",15840
"146",12960
"89",9240
"202",18120
"220",0
"76",4860
"264",0
"164",0
"53",6960
"217",22860
"247",0
"268",0
"197",0
"192",0
"272",0
"222",18660
"93",16740
"126",0
"175",0
"110",9360
"228",0
"158",0
"86",4740
"176",0
"130",29460
"233",0
"259",0
"140",34200
"210",18060
"72",6780
"199",16620
"156",14400
"165",0
"154",0
"74",6840
"94",13080
"249",0
"68",6060
"207",0
"194",12000
"211",0
"219",0
"195",17640
"91",11880
"266",0
"240",0
"108",25920
"260",0
"242",0
"208",0
"231",0
"238",0
"182",0
"62",5880
"144",0
"263",0
"161",0
"271",0
"282",0
"189",0
"200",0
"137",37620
"169",14280
"90",10740
"138",13140
"92",12540
"166",0
"153",0
"155",0
"48",6960
"177",0
"125",10800
"147",14580
"184",0
"278",0
"214",17460
"173",0
"135",15120
"269",0
"120",29040
"67",6480
"87",10740
"232",0
"73",0
"216",0
"179",0
"226",19500
"58",5160
"270",0
"59",4980
"141",0
"151",14160
"215",0
"223",0
"104",24360
"79",4740
"163",0
"70",6540
"252",0
"52",4920
"100",6780
"187",0
"198",16620
"248",0
"236",0
"97",11520
"265",0
"174",0
"134",32880
"81",4680
"193",15060
"181",14580
"250",0
"102",22380
"115",28320
"201",17820
"49",6120
"254",0
"267",0
"221",0
"80",5520
"109",25320
"186",0
"106",24840
"171",0
"237",16500
"277",0
"261",0
"51",4920
"132",13020
"225",14760
"69",8040
"124",0
"129",30060
"209",0
"83",4740
"251",0
"150",0
"196",0
"244",0
"112",10080
"143",13500
"167",0
"212",0
"75",6840
"123",12540
"255",0
"257",0
"280",0
"159",13860
"204",0
"148",0
"279",0
"224",19200
"96",22320
"121",9900
"78",0
"101",17820
"99",15660
"88",11700
