"run","patientgetSeverityissevere","patientgetSeverityismoderate","patientgetSeverityislow","patientgetAdmissionRouteisElectiveattendance","patientgetImmunocompromisedisYes","patientgetImmunocompromisedisNo","patientgetRecentCovidContactisYes","patientgetRecentCovidContactisNo","patientgetStrepAInfectionStatusisSusceptible","patientgetStrepAInfectionStatusisAsymptomatic","patientgetStrepAInfectionStatusisSymptomatic","patientgetadmittedToisGreenBay","patientgetadmittedToisGreenBaygetSeverityissevere","patientgetadmittedToisGreenBaygetSeverityismoderate","patientgetadmittedToisGreenBaygetSeverityislow","patientgetadmittedToisGreenBaygetAdmissionRouteisElectiveattendance","patientgetadmittedToisGreenBaygetImmunocompromisedisYes","patientgetadmittedToisGreenBaygetImmunocompromisedisNo","patientgetadmittedToisGreenBaygetRecentCovidContactisYes","patientgetadmittedToisGreenBaygetRecentCovidContactisNo","patientgetadmittedToisGreenBaygetStrepAInfectionStatusisSusceptible","patientgetadmittedToisGreenBaygetStrepAInfectionStatusisAsymptomatic","patientgetadmittedToisGreenBaygetStrepAInfectionStatusisSymptomatic","patientgetAliveTime"
2,24.0,130.0,0.0,117.0,27.0,90.0,64.0,53.0,27.0,9.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3005.064935064936
10,30.0,123.0,0.0,114.0,24.0,90.0,65.0,49.0,15.0,18.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1743.5294117647054
5,32.0,114.0,0.0,108.0,20.0,88.0,56.0,52.0,29.0,7.0,2.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,3887.2602739726017
4,26.0,123.0,0.0,114.0,25.0,89.0,60.0,54.0,18.0,11.0,6.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,3574.228187919464
3,21.0,140.0,0.0,121.0,23.0,98.0,53.0,68.0,26.0,9.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3212.7950310559004
6,19.0,120.0,0.0,100.0,22.0,78.0,49.0,51.0,25.0,10.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3780.0
1,23.0,142.0,0.0,126.0,33.0,93.0,67.0,59.0,27.0,10.0,2.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,4144.363636363635
9,30.0,133.0,0.0,124.0,29.0,95.0,58.0,66.0,24.0,12.0,3.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,3754.6012269938656
8,31.0,116.0,0.0,112.0,24.0,88.0,59.0,53.0,20.0,11.0,4.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,3900.8163265306093
7,22.0,129.0,0.0,114.0,30.0,84.0,54.0,60.0,20.0,14.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1525.827814569537
