Time point: 1318.0 | positivePatientsSeen: 1.0
Time point: 1319.0 | stress: 2.0
Time point: 2246.0 | positivePatientsSeen: 2.0
Time point: 2247.0 | stress: 3.0
Time point: 5513.0 | positivePatientsSeen: 3.0
Time point: 5514.0 | stress: 4.0
Time point: 6603.0 | positivePatientsSeen: 4.0
Time point: 6604.0 | stress: 5.0
Time point: 7694.0 | positivePatientsSeen: 5.0
Time point: 7695.0 | stress: 6.0
Time point: 8178.0 | positivePatientsSeen: 6.0
Time point: 8179.0 | stress: 7.0
Time point: 9993.0 | positivePatientsSeen: 7.0
Time point: 9994.0 | stress: 8.0
Time point: 11444.0 | positivePatientsSeen: 8.0
Time point: 11445.0 | stress: 9.0
Time point: 11928.0 | positivePatientsSeen: 9.0
Time point: 11929.0 | stress: 10.0
Time point: 14749.0 | positivePatientsSeen: 10.0
Time point: 14750.0 | stress: 11.0
Time point: 15072.0 | positivePatientsSeen: 11.0
Time point: 15073.0 | stress: 12.0
