Time point: 1436.0 | positivePatientsSeen: 1.0
Time point: 1437.0 | stress: 2.0
Time point: 2023.0 | positivePatientsSeen: 2.0
Time point: 2024.0 | stress: 3.0
Time point: 3215.0 | positivePatientsSeen: 3.0
Time point: 3216.0 | stress: 4.0
Time point: 4425.0 | positivePatientsSeen: 4.0
Time point: 4426.0 | stress: 5.0
Time point: 5031.0 | positivePatientsSeen: 5.0
Time point: 5032.0 | stress: 6.0
Time point: 6241.0 | positivePatientsSeen: 6.0
Time point: 6242.0 | stress: 7.0
Time point: 6724.0 | positivePatientsSeen: 7.0
Time point: 6725.0 | stress: 8.0
Time point: 7571.0 | positivePatientsSeen: 8.0
Time point: 7572.0 | stress: 9.0
Time point: 9749.0 | positivePatientsSeen: 9.0
Time point: 9750.0 | stress: 10.0
Time point: 11201.0 | positivePatientsSeen: 10.0
Time point: 11202.0 | stress: 11.0
Time point: 11806.0 | positivePatientsSeen: 11.0
Time point: 11807.0 | stress: 12.0
Time point: 12775.0 | positivePatientsSeen: 12.0
Time point: 12776.0 | stress: 13.0
Time point: 14104.0 | positivePatientsSeen: 13.0
Time point: 14105.0 | stress: 14.0
