Time point: 206.0 | PatientsSeen: 1.0
Time point: 428.0 | PatientsSeen: 2.0
Time point: 671.0 | PatientsSeen: 3.0
Time point: 912.0 | PatientsSeen: 4.0
Time point: 1155.0 | PatientsSeen: 5.0
Time point: 1518.0 | PatientsSeen: 6.0
Time point: 2001.0 | PatientsSeen: 7.0
Time point: 2364.0 | PatientsSeen: 8.0
Time point: 2727.0 | PatientsSeen: 9.0
Time point: 3091.0 | PatientsSeen: 10.0
Time point: 3332.0 | PatientsSeen: 11.0
Time point: 3695.0 | PatientsSeen: 12.0
Time point: 3937.0 | PatientsSeen: 13.0
Time point: 4421.0 | PatientsSeen: 14.0
Time point: 5148.0 | PatientsSeen: 15.0
Time point: 5511.0 | PatientsSeen: 16.0
Time point: 5753.0 | PatientsSeen: 17.0
Time point: 5994.0 | PatientsSeen: 18.0
Time point: 6236.0 | PatientsSeen: 19.0
Time point: 6600.0 | PatientsSeen: 20.0
Time point: 6841.0 | PatientsSeen: 21.0
Time point: 7084.0 | PatientsSeen: 22.0
Time point: 7325.0 | PatientsSeen: 23.0
Time point: 7568.0 | PatientsSeen: 24.0
Time point: 7931.0 | PatientsSeen: 25.0
Time point: 8294.0 | PatientsSeen: 26.0
Time point: 8778.0 | PatientsSeen: 27.0
Time point: 9262.0 | PatientsSeen: 28.0
Time point: 9504.0 | PatientsSeen: 29.0
Time point: 9745.0 | PatientsSeen: 30.0
Time point: 9987.0 | PatientsSeen: 31.0
Time point: 10229.0 | PatientsSeen: 32.0
Time point: 10593.0 | PatientsSeen: 33.0
Time point: 10835.0 | PatientsSeen: 34.0
Time point: 11319.0 | PatientsSeen: 35.0
Time point: 11682.0 | PatientsSeen: 36.0
Time point: 12408.0 | PatientsSeen: 37.0
Time point: 13376.0 | PatientsSeen: 38.0
Time point: 13738.0 | PatientsSeen: 39.0
Time point: 14101.0 | PatientsSeen: 40.0
Time point: 14343.0 | PatientsSeen: 41.0
Time point: 14707.0 | PatientsSeen: 42.0
Time point: 15070.0 | PatientsSeen: 43.0
