Time point: 324.0 | PatientsSeen: 1.0
Time point: 549.0 | PatientsSeen: 2.0
Time point: 796.0 | PatientsSeen: 3.0
Time point: 1034.0 | PatientsSeen: 4.0
Time point: 1276.0 | PatientsSeen: 5.0
Time point: 1760.0 | PatientsSeen: 6.0
Time point: 2243.0 | PatientsSeen: 7.0
Time point: 2607.0 | PatientsSeen: 8.0
Time point: 2969.0 | PatientsSeen: 9.0
Time point: 3212.0 | PatientsSeen: 10.0
Time point: 3574.0 | PatientsSeen: 11.0
Time point: 3817.0 | PatientsSeen: 12.0
Time point: 4179.0 | PatientsSeen: 13.0
Time point: 4543.0 | PatientsSeen: 14.0
Time point: 4784.0 | PatientsSeen: 15.0
Time point: 5026.0 | PatientsSeen: 16.0
Time point: 5269.0 | PatientsSeen: 17.0
Time point: 5874.0 | PatientsSeen: 18.0
Time point: 6479.0 | PatientsSeen: 19.0
Time point: 6721.0 | PatientsSeen: 20.0
Time point: 7689.0 | PatientsSeen: 21.0
Time point: 8172.0 | PatientsSeen: 22.0
Time point: 8535.0 | PatientsSeen: 23.0
Time point: 8898.0 | PatientsSeen: 24.0
Time point: 9141.0 | PatientsSeen: 25.0
Time point: 9383.0 | PatientsSeen: 26.0
Time point: 10108.0 | PatientsSeen: 27.0
Time point: 10472.0 | PatientsSeen: 28.0
Time point: 10714.0 | PatientsSeen: 29.0
Time point: 10955.0 | PatientsSeen: 30.0
Time point: 11198.0 | PatientsSeen: 31.0
Time point: 11561.0 | PatientsSeen: 32.0
Time point: 11924.0 | PatientsSeen: 33.0
Time point: 12165.0 | PatientsSeen: 34.0
Time point: 12528.0 | PatientsSeen: 35.0
Time point: 12770.0 | PatientsSeen: 36.0
Time point: 13012.0 | PatientsSeen: 37.0
Time point: 13255.0 | PatientsSeen: 38.0
Time point: 13496.0 | PatientsSeen: 39.0
Time point: 13980.0 | PatientsSeen: 40.0
Time point: 14223.0 | PatientsSeen: 41.0
Time point: 14585.0 | PatientsSeen: 42.0
Time point: 14949.0 | PatientsSeen: 43.0
