Time point: 1414.0 | PatientsSeen: 1.0
Time point: 1638.0 | PatientsSeen: 2.0
Time point: 1880.0 | PatientsSeen: 3.0
Time point: 2123.0 | PatientsSeen: 4.0
Time point: 2486.0 | PatientsSeen: 5.0
Time point: 2849.0 | PatientsSeen: 6.0
Time point: 3453.0 | PatientsSeen: 7.0
Time point: 4058.0 | PatientsSeen: 8.0
Time point: 4301.0 | PatientsSeen: 9.0
Time point: 4663.0 | PatientsSeen: 10.0
Time point: 4905.0 | PatientsSeen: 11.0
Time point: 5390.0 | PatientsSeen: 12.0
Time point: 5632.0 | PatientsSeen: 13.0
Time point: 6116.0 | PatientsSeen: 14.0
Time point: 6358.0 | PatientsSeen: 15.0
Time point: 6963.0 | PatientsSeen: 16.0
Time point: 7205.0 | PatientsSeen: 17.0
Time point: 7446.0 | PatientsSeen: 18.0
Time point: 7809.0 | PatientsSeen: 19.0
Time point: 8052.0 | PatientsSeen: 20.0
Time point: 8415.0 | PatientsSeen: 21.0
Time point: 8657.0 | PatientsSeen: 22.0
Time point: 9019.0 | PatientsSeen: 23.0
Time point: 9625.0 | PatientsSeen: 24.0
Time point: 9867.0 | PatientsSeen: 25.0
Time point: 10351.0 | PatientsSeen: 26.0
Time point: 11077.0 | PatientsSeen: 27.0
Time point: 11440.0 | PatientsSeen: 28.0
Time point: 11803.0 | PatientsSeen: 29.0
Time point: 12045.0 | PatientsSeen: 30.0
Time point: 12287.0 | PatientsSeen: 31.0
Time point: 12650.0 | PatientsSeen: 32.0
Time point: 12891.0 | PatientsSeen: 33.0
Time point: 13133.0 | PatientsSeen: 34.0
Time point: 13617.0 | PatientsSeen: 35.0
Time point: 13860.0 | PatientsSeen: 36.0
Time point: 14464.0 | PatientsSeen: 37.0
Time point: 14828.0 | PatientsSeen: 38.0
Time point: 15190.0 | PatientsSeen: 39.0
